Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
3300,52.698063,1.3995376,27,Slight,Fine No High Winds,Single Carriageway,46.67,1.52,13.0,0,7,20
3261,54.078976,-1.533867,27,Slight,Fine No High Winds,Single Carriageway,46.67,1.52,7.0,0,3,24
3262,54.048748,-2.285613,27,Slight,Fine No High Winds,Single Carriageway,59.26,1.44,16.0,1,8,18
3538,51.7674,0.6833431,27,Slight,Fine No High Winds,Single Carriageway,48.15,1.44,14.0,0,3,24
3559,52.39131,-1.616083,27,Slight,Fine No High Winds,Single Carriageway,42.22,1.7,8.0,0,4,23
3585,51.72403,-3.0615582,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.26,19.0,0,6,21
3588,52.15977,-3.397261,27,Slight,Fine No High Winds,Single Carriageway,51.48,1.48,15.0,0,2,25
3591,56.488922,-2.8992338,27,Slight,Fine No High Winds,Single Carriageway,31.48,1.26,18.0,0,8,19
3593,55.88737,-4.4317446,27,Slight,Fine No High Winds,Single Carriageway,50.0,1.52,17.0,0,5,22
3621,51.148636,-3.0614903,27,Slight,Fine No High Winds,Single Carriageway,37.78,1.26,18.0,2,5,20
3615,51.15173,0.39984912,27,Slight,Fine No High Winds,Single Carriageway,47.78,1.3,8.0,0,2,25
3384,52.22901,-2.1406763,27,Slight,Fine No High Winds,Dual Carriageway,66.3,1.41,14.0,0,2,25
3491,51.682365,-0.09941426,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.3,12.0,0,7,20
3210,53.180244,-3.1165395,27,Slight,Fine No High Winds,Single Carriageway,34.44,1.59,9.0,0,1,26
693,52.80147,-2.0361228,27,Slight,Fine No High Winds,Single Carriageway,38.15,1.48,8.0,1,1,25
3494,53.24004,-2.418218,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.41,18.0,0,7,20
688,52.895126,-2.079922,27,Slight,Fine No High Winds,Single Carriageway,59.63,1.67,17.0,1,5,21
3566,52.98428,-0.23917189,27,Slight,Fine No High Winds,Single Carriageway,56.67,1.59,16.0,1,5,21
3372,53.799507,-2.9478123,27,Slight,Fine No High Winds,Dual Carriageway,66.3,2.22,8.0,0,7,20
3364,57.81081,-4.0543723,27,Slight,Fine No High Winds,Single Carriageway,31.11,1.19,13.0,1,3,23
278,54.946014,-1.9021597,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.44,9.0,0,2,25
3497,52.786324,-0.6109066,27,Slight,Fine No High Winds,Dual Carriageway,70.0,1.56,9.0,0,3,24
3220,51.976326,-3.8448184,27,Slight,Fine No High Winds,Single Carriageway,59.63,1.3,13.0,2,4,21
3596,53.669018,-2.8535664,27,Serious,Fine No High Winds,Single Carriageway,54.81,1.56,16.0,3,12,12
3541,51.117558,0.3787431,27,Slight,Fine No High Winds,Single Carriageway,58.89,1.78,15.0,2,9,16
3704,51.720085,-3.240198,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.19,16.0,1,4,22
1517,51.903774,0.5720642,27,Slight,Fine No High Winds,Single Carriageway,41.48,1.37,13.0,1,9,17
2156,50.444527,-4.703869,27,Slight,Fine No High Winds,Single Carriageway,56.3,1.26,8.0,0,2,25
2555,53.27802,-3.286208,27,Slight,Fine No High Winds,Single Carriageway,57.41,1.81,21.0,0,4,23
3089,51.644444,-1.0061707,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.22,9.0,0,1,26
1273,52.18403,0.20734556,27,Slight,Fine No High Winds,Single Carriageway,39.26,1.19,16.0,1,4,22
